srcip,dstip,proto,bytes_r,bytes_r_max,bytes_s,bytes_s_max,first,last,pkts_r,pkts_r_max,pkts_s,pkts_s_max,count,activity,ss_time,service
10.145.167.113,23.246.2.209,6,16559,8280,2760,1380,27:30.0,33:32.7,22,11,20,10,2,"['browse_home', 'browse_home']",362.677249,netflix
10.145.167.113,23.246.3.157,6,8597934,4368024,91240,48212,22:38.5,42:19.9,6812,3462,1017,546,2,"['watch_video', 'watch_video']",1181.308257,netflix
10.145.167.113,23.246.3.195,6,275398,137699,7956,3978,27:19.1,46:14.2,222,111,120,60,2,"['browse_home', 'browse_home']",1135.055582,netflix
10.145.167.113,23.246.3.196,6,301903,301903,9772,9772,22:38.5,22:39.2,246,246,143,143,1,['watch_video'],0.692885,netflix
10.145.167.113,23.246.3.198,6,34004,11258,6276,2188,29:49.5,56:04.3,45,14,44,15,4,"['browse_home', 'browse_home', 'browse_home', 'browse_home']",1574.794107,netflix
10.145.167.113,23.246.3.201,6,21331,7144,4192,1432,27:18.6,46:13.8,31,11,31,11,3,"['browse_home', 'browse_home', 'browse_home']",1135.136364,netflix
10.145.167.113,23.246.3.202,6,41703,9363,7016,1444,27:18.1,55:52.8,57,12,52,11,5,"['browse_home', 'browse_home', 'browse_home', 'browse_home', 'browse_home']",1714.70577,netflix
10.145.167.113,23.246.3.203,6,275386,137693,7956,3978,29:49.3,33:32.4,222,111,120,60,2,"['browse_home', 'browse_home']",223.102762,netflix
10.145.167.113,23.246.3.204,6,300561,300561,9188,9188,41:56.6,41:57.1,244,244,132,132,1,['watch_video'],0.516023,netflix
10.145.167.113,23.246.3.206,6,16676,8338,2758,1379,29:49.0,46:13.9,22,11,20,10,2,"['browse_home', 'browse_home']",984.85335,netflix
10.145.167.113,23.246.3.207,6,64703,64703,2576,2576,27:19.0,27:19.1,55,55,33,33,1,['browse_home'],0.097085,netflix
10.145.167.113,23.246.3.212,6,1007035,251759,25280,6320,27:19.2,55:55.6,800,200,420,105,4,"['browse_home', 'browse_home', 'browse_home', 'browse_home']",1716.404388,netflix
10.145.167.113,31.13.93.19,6,400394,400394,45739,45739,46:25.8,46:42.2,384,384,306,306,1,['browse_home'],16.38914,netflix
10.145.167.113,31.13.93.32,6,291,291,255,255,33:28.7,33:29.0,5,5,5,5,1,['browse_home'],0.299878,netflix
10.145.167.113,31.13.93.35,6,1430,1430,1682,1682,46:25.8,46:25.9,10,10,14,14,1,['browse_home'],0.088517,netflix
10.145.167.113,34.210.42.111,6,239119,181389,239460,163901,10:17.3,30:07.6,284,200,398,270,3,"['watch_video', 'watch_video', 'browse_home']",1190.369388,netflix
10.145.167.113,35.161.50.134,6,76362,25977,29723,10181,15:05.5,46:12.2,82,31,89,35,3,"['watch_video', 'browse_home', 'browse_home']",1866.773387,netflix
10.145.167.113,52.40.130.35,6,75882,25380,29467,9929,10:17.1,41:55.0,82,29,84,30,3,"['watch_video', 'browse_home', 'watch_video']",1897.980543,netflix
10.145.167.113,52.42.117.17,6,76548,25877,30251,10245,22:36.5,55:51.6,85,29,99,36,3,"['watch_video', 'browse_home', 'browse_home']",1995.146285,netflix
10.145.167.113,52.89.124.203,6,238525,209920,211264,173731,22:36.5,27:41.4,290,250,398,335,2,"['watch_video', 'browse_home']",304.979461,netflix
10.145.167.113,54.148.37.5,6,614701,207137,553079,177013,33:27.2,56:06.1,800,255,1027,337,4,"['browse_home', 'watch_video', 'browse_home', 'browse_home']",1358.877459,netflix
10.145.43.25,192.124.233.66,6,103492688,20142466,632574,106594,15:47.1,59:46.8,81311,15803,8133,1472,8,"['watch_video', 'watch_video', 'watch_video', 'browse_home', 'browse_home', 'watch_video', 'browse_home', 'browse_home']",2639.718329,netflix
10.145.43.25,198.38.99.164,6,7091,7091,1432,1432,29:54.0,29:54.1,10,10,11,11,1,['browse_home'],0.140493,netflix
10.145.43.25,23.246.2.130,6,1887884,1887884,55193,55193,29:56.6,29:56.9,1483,1483,784,784,1,['browse_home'],0.359215,netflix
10.145.43.25,23.246.2.135,6,17330302,4369185,166344,46836,15:46.7,44:16.7,13734,3460,1710,532,4,"['watch_video', 'watch_video', 'watch_video', 'watch_video']",1709.925062,netflix
10.145.43.25,23.246.2.194,6,195405,65994,8936,3772,15:46.7,24:24.9,166,56,122,56,3,"['watch_video', 'watch_video', 'watch_video']",518.271962,netflix
10.145.43.25,23.246.2.195,6,64705,64705,2524,2524,43:52.9,43:53.0,55,55,32,32,1,['watch_video'],0.122177,netflix
10.145.43.25,23.246.2.196,6,146038,137696,5409,3978,40:21.0,59:33.4,122,111,71,60,2,"['browse_home', 'browse_home']",1152.384079,netflix
10.145.43.25,23.246.2.201,6,123453,61727,4944,2472,29:56.2,40:21.2,104,52,62,31,2,"['browse_home', 'browse_home']",624.952166,netflix
10.145.43.25,23.246.2.202,6,64704,64704,2524,2524,59:33.1,59:33.2,55,55,32,32,1,['browse_home'],0.089261,netflix
10.145.43.25,23.246.2.204,6,18557,6186,3984,1328,29:53.8,59:31.9,27,9,27,9,3,"['browse_home', 'browse_home', 'browse_home']",1778.072567,netflix
10.145.43.25,23.246.2.206,6,194630,129927,8948,6424,29:56.6,57:35.1,160,105,139,107,2,"['browse_home', 'browse_home']",1658.50845,netflix
10.145.43.25,23.246.2.207,6,239242,231171,7924,6544,40:19.5,57:35.0,196,185,109,99,2,"['browse_home', 'browse_home']",1035.413327,netflix
10.145.43.25,23.246.2.209,6,24840,8280,4140,1380,30:05.2,59:38.8,33,11,30,10,3,"['browse_home', 'browse_home', 'browse_home']",1773.606934,netflix
10.145.43.25,23.246.3.195,6,332805,195105,12496,8518,29:56.0,57:35.1,268,157,197,137,2,"['browse_home', 'browse_home']",1659.095905,netflix
10.145.43.25,23.246.3.196,6,324550,129925,10172,3824,29:56.0,57:34.9,265,105,146,57,3,"['browse_home', 'browse_home', 'browse_home']",1658.900035,netflix
10.145.43.25,23.246.3.198,6,14469,8282,2708,1380,40:30.5,57:31.8,20,11,19,10,2,"['browse_home', 'browse_home']",1021.284611,netflix
10.145.43.25,23.246.3.201,6,21279,7093,4192,1432,40:20.9,59:32.1,30,10,31,11,3,"['browse_home', 'browse_home', 'browse_home']",1151.133842,netflix
10.145.43.25,23.246.3.202,6,16146,8073,2760,1380,29:53.7,59:29.4,22,11,20,10,2,"['browse_home', 'browse_home']",1775.634119,netflix
10.145.43.25,23.246.3.206,6,25019,8340,4137,1379,29:54.1,59:33.0,33,11,30,10,3,"['browse_home', 'browse_home', 'browse_home']",1778.82064,netflix
10.145.43.25,23.246.3.208,6,227475,227475,5800,5800,29:57.2,29:57.3,181,181,95,95,1,['browse_home'],0.119503,netflix
10.145.43.25,23.246.3.209,6,227529,227529,5852,5852,40:21.4,40:21.5,182,182,96,96,1,['browse_home'],0.147421,netflix
10.145.43.25,23.246.3.212,6,755282,251761,19012,6372,29:56.1,59:33.6,600,200,316,106,3,"['browse_home', 'browse_home', 'browse_home']",1777.445654,netflix
10.145.43.25,31.13.93.19,6,106816,106816,13549,13549,24:46.8,24:50.2,105,105,61,61,1,['watch_video'],3.382268,netflix
10.145.43.25,34.210.42.111,6,330157,268479,315016,239434,15:44.6,43:54.1,454,362,564,432,3,"['watch_video', 'browse_home', 'watch_video']",1689.550799,netflix
10.145.43.25,35.161.50.134,6,100968,25323,40072,10181,21:13.6,43:51.7,106,28,127,35,4,"['watch_video', 'watch_video', 'browse_home', 'watch_video']",1358.158749,netflix
10.145.43.25,52.42.117.17,6,101232,25322,39788,10181,15:44.4,59:25.6,111,28,122,35,4,"['watch_video', 'browse_home', 'browse_home', 'browse_home']",2621.151576,netflix
10.145.43.25,52.89.124.203,6,452441,272517,403748,239910,57:29.9,59:40.4,616,364,735,444,2,"['browse_home', 'browse_home']",130.506968,netflix
10.145.43.25,54.148.37.5,6,244792,187484,260252,185588,21:13.5,40:42.4,335,252,421,301,3,"['watch_video', 'watch_video', 'browse_home']",1168.951842,netflix
10.145.43.25,54.235.112.154,6,8139,8139,2211,2211,40:15.8,40:16.1,18,18,20,20,1,['browse_home'],0.321212,netflix
10.145.167.113,172.217.9.142,6,4526,4526,9361,9361,08:01.3,08:03.0,17,17,27,27,1,['watch_video'],1.682701,netflix
10.145.167.113,172.217.9.4,17,48,48,102,102,55:01.9,55:01.9,1,1,2,2,1,['browse_home'],0.058463,netflix
10.145.167.113,192.124.233.66,6,59320521,19722577,272119,95365,07:48.9,57:07.3,46586,15488,3489,1236,4,"['watch_video', 'watch_video', 'browse_home', 'watch_video']",2958.423628,netflix
10.145.167.113,198.38.99.164,6,7090,7090,1380,1380,55:03.8,55:04.0,10,10,10,10,1,['browse_home'],0.172819,netflix
10.145.167.113,23.246.2.135,6,8733176,4367874,83320,43104,07:48.5,57:07.3,6916,3459,868,462,2,"['watch_video', 'watch_video']",2958.819736,netflix
10.145.167.113,23.246.2.194,6,300566,300566,9240,9240,56:42.9,56:43.5,244,244,133,133,1,['watch_video'],0.646686,netflix
10.145.167.113,23.246.2.204,6,6187,6187,1328,1328,55:03.8,55:03.8,9,9,9,9,1,['browse_home'],0.042014,netflix
10.145.167.113,23.246.2.207,6,8072,8072,1380,1380,55:03.3,55:03.4,11,11,10,10,1,['browse_home'],0.057189,netflix
10.145.167.113,23.246.2.211,6,300562,300562,10124,10124,07:48.2,07:48.9,244,244,150,150,1,['watch_video'],0.651292,netflix
10.145.167.113,23.246.3.157,6,4329170,4329170,38852,38852,27:03.9,27:28.3,3428,3428,380,380,1,['watch_video'],24.384332,netflix
10.145.167.113,23.246.3.199,6,300563,300563,9188,9188,27:03.9,27:04.4,244,244,132,132,1,['watch_video'],0.526202,netflix
10.145.167.113,23.246.3.203,6,137692,137692,4030,4030,55:04.4,55:04.5,111,111,61,61,1,['browse_home'],0.119341,netflix
10.145.167.113,23.246.3.206,6,8338,8338,1379,1379,55:04.0,55:04.1,11,11,10,10,1,['browse_home'],0.055253,netflix
10.145.167.113,23.246.3.207,6,64703,64703,2524,2524,55:04.3,55:04.4,55,55,32,32,1,['browse_home'],0.069418,netflix
10.145.167.113,23.246.3.212,6,251808,251808,6372,6372,55:04.5,55:04.6,201,201,106,106,1,['browse_home'],0.094191,netflix
10.145.167.113,31.13.93.32,6,239,239,215,215,07:48.2,07:48.5,4,4,4,4,1,['watch_video'],0.233077,netflix
10.145.167.113,34.210.42.111,6,292647,292647,206312,206312,54:59.6,55:24.5,374,374,460,460,1,['browse_home'],24.922823,netflix
10.145.167.113,35.161.50.134,6,25228,25228,9713,9713,07:45.8,07:46.6,26,26,26,26,1,['watch_video'],0.824479,netflix
10.145.167.113,52.40.130.35,6,76505,51185,24334,14621,27:01.2,56:41.2,83,55,90,64,2,"['watch_video', 'watch_video']",1780.018721,netflix
10.145.167.113,52.42.117.17,6,25439,25439,9937,9937,54:59.5,55:00.6,30,30,30,30,1,['browse_home'],1.184101,netflix
10.145.167.113,52.89.124.203,6,53946,29306,64350,38279,07:45.9,56:43.8,92,50,120,67,2,"['watch_video', 'watch_video']",2937.820342,netflix
10.145.167.113,54.148.37.5,6,41036,41036,46976,46976,27:00.8,27:05.0,64,64,89,89,1,['watch_video'],4.196389,netflix
10.145.43.25,172.217.9.138,17,48,48,51,51,07:28.8,07:28.8,1,1,1,1,1,['browse_home'],0.035514,netflix
10.145.43.25,192.124.233.66,6,9129706,4566143,105852,53850,07:41.6,58:37.6,7224,3613,1244,640,2,"['browse_home', 'browse_home']",3056.070462,netflix
10.145.43.25,198.38.99.164,6,14183,7093,2864,1432,07:30.3,58:18.9,20,10,22,11,2,"['browse_home', 'browse_home']",3048.621683,netflix
10.145.43.25,23.246.2.193,6,503518,251760,12640,6320,07:31.0,58:19.6,400,200,210,105,2,"['browse_home', 'browse_home']",3048.599119,netflix
10.145.43.25,23.246.2.194,6,64708,64708,2524,2524,07:30.6,07:30.7,55,55,32,32,1,['browse_home'],0.090927,netflix
10.145.43.25,23.246.2.196,6,8342,8342,1379,1379,07:30.5,07:30.5,11,11,10,10,1,['browse_home'],0.049685,netflix
10.145.43.25,23.246.2.197,6,137698,137698,4030,4030,58:19.3,58:19.4,111,111,61,61,1,['browse_home'],0.135168,netflix
10.145.43.25,23.246.2.202,6,64706,64706,2524,2524,58:19.2,58:19.3,55,55,32,32,1,['browse_home'],0.073623,netflix
10.145.43.25,23.246.2.204,6,6188,6188,1328,1328,58:18.7,58:18.8,9,9,9,9,1,['browse_home'],0.042502,netflix
10.145.43.25,23.246.2.207,6,8072,8072,1380,1380,58:18.5,58:18.6,11,11,10,10,1,['browse_home'],0.059567,netflix
10.145.43.25,23.246.2.209,6,8281,8281,1380,1380,58:29.2,58:29.3,11,11,10,10,1,['browse_home'],0.043647,netflix
10.145.43.25,23.246.3.198,6,10091,10091,2020,2020,07:30.2,07:31.1,13,13,12,12,1,['browse_home'],0.882583,netflix
10.145.43.25,23.246.3.202,6,8071,8071,1380,1380,07:30.2,07:30.2,11,11,10,10,1,['browse_home'],0.048334,netflix
10.145.43.25,23.246.3.203,6,137696,137696,3978,3978,07:30.8,07:30.9,111,111,60,60,1,['browse_home'],0.113264,netflix
10.145.43.25,23.246.3.206,6,8339,8339,1379,1379,58:19.0,58:19.1,11,11,10,10,1,['browse_home'],0.044214,netflix
10.145.43.25,52.40.130.35,6,25316,25316,9713,9713,58:15.7,58:16.5,28,28,26,26,1,['browse_home'],0.787181,netflix
10.145.43.25,52.42.117.17,6,25347,25347,9713,9713,07:25.6,07:26.4,28,28,26,26,1,['browse_home'],0.812247,netflix
10.145.43.25,52.89.124.203,6,211667,211667,173286,173286,58:16.0,58:41.1,271,271,350,350,1,['browse_home'],25.008109,netflix
10.145.43.25,54.148.37.5,6,186829,186829,166328,166328,07:25.6,07:46.9,257,257,319,319,1,['browse_home'],21.327622,netflix
10.145.167.113,162.125.8.7,6,248,248,426,426,53:19.6,53:24.6,5,5,7,7,1,['watch_video'],4.982938,netflix
10.145.167.113,172.217.12.42,6,1640,1600,5002,4927,27:58.9,44:34.6,11,10,12,11,2,"['watch_video', 'watch_video']",995.70354,netflix
10.145.167.113,172.217.12.74,6,2879,2879,75,75,10:45.3,10:54.2,4,4,1,1,1,['watch_video'],8.874371,netflix
10.145.167.113,172.217.9.142,6,7901,7901,10063,10063,08:03.1,08:05.3,18,18,30,30,1,['browse_home'],2.260297,netflix
10.145.167.113,172.217.9.4,17,5040,5040,2036,2036,13:30.1,13:30.2,7,7,5,5,1,['browse_home'],0.121597,netflix
10.145.167.113,192.124.233.66,6,138011720,19717903,611452,93732,10:44.1,53:44.3,108338,15490,7933,1269,7,"['watch_video', 'watch_video', 'watch_video', 'watch_video', 'watch_video', 'watch_video', 'watch_video']",2580.244552,netflix
10.145.167.113,198.38.99.164,6,7091,7091,1432,1432,13:23.4,13:23.6,10,10,11,11,1,['browse_home'],0.155736,netflix
10.145.167.113,23.21.233.62,6,8139,8139,2211,2211,10:39.5,10:39.8,18,18,20,20,1,['watch_video'],0.294423,netflix
10.145.167.113,23.246.2.135,6,17475664,4370768,176388,54324,10:43.3,53:44.3,13845,3467,1895,650,4,"['watch_video', 'watch_video', 'watch_video', 'watch_video']",2581.041245,netflix
10.145.167.113,23.246.2.195,6,365265,300562,11712,9188,08:06.1,10:44.0,299,244,164,132,2,"['browse_home', 'watch_video']",157.894035,netflix
10.145.167.113,23.246.2.202,6,367844,303140,14388,11864,13:24.0,44:29.5,301,246,215,183,2,"['browse_home', 'watch_video']",1865.489509,netflix
10.145.167.113,23.246.2.204,6,12372,6187,2656,1328,08:04.7,13:23.4,18,9,18,9,2,"['browse_home', 'browse_home']",318.670811,netflix
10.145.167.113,23.246.2.206,6,301847,301847,9252,9252,53:19.5,53:20.1,245,245,133,133,1,['watch_video'],0.555216,netflix
10.145.167.113,23.246.2.207,6,8072,8072,1380,1380,13:23.3,13:23.3,11,11,10,10,1,['browse_home'],0.050874,netflix
10.145.167.113,23.246.2.209,6,503513,251757,12640,6320,08:06.3,13:24.4,400,200,210,105,2,"['browse_home', 'browse_home']",318.078315,netflix
10.145.167.113,23.246.2.211,6,301851,301851,13724,13724,40:09.7,40:10.5,245,245,219,219,1,['watch_video'],0.785658,netflix
10.145.167.113,23.246.3.157,6,13101445,4367871,124536,44584,14:15.4,28:04.1,10383,3466,1288,490,3,"['watch_video', 'watch_video', 'watch_video']",828.696042,netflix
10.145.167.113,23.246.3.195,6,137696,137696,3978,3978,08:06.2,08:06.3,111,111,60,60,1,['browse_home'],0.071558,netflix
10.145.167.113,23.246.3.199,6,300562,300562,9188,9188,24:05.5,24:06.0,244,244,132,132,1,['watch_video'],0.530496,netflix
10.145.167.113,23.246.3.201,6,7091,7091,1380,1380,08:05.7,08:05.8,10,10,10,10,1,['browse_home'],0.088278,netflix
10.145.167.113,23.246.3.202,6,8072,8072,1432,1432,08:04.6,08:04.7,11,11,11,11,1,['browse_home'],0.127168,netflix
10.145.167.113,23.246.3.203,6,137745,137745,4030,4030,13:24.1,13:24.2,112,112,61,61,1,['browse_home'],0.082745,netflix
10.145.167.113,23.246.3.206,6,617798,300562,25866,13920,08:05.8,27:41.3,510,244,375,223,4,"['browse_home', 'browse_home', 'watch_video', 'watch_video']",1175.481079,netflix
10.145.167.113,31.13.93.19,6,1744,1744,3208,3156,08:21.1,10:39.0,9,9,13,12,2,"['browse_home', 'watch_video']",137.918307,netflix
10.145.167.113,34.210.42.111,6,236512,174664,259419,182917,08:02.5,53:20.5,350,258,478,340,3,"['browse_home', 'watch_video', 'watch_video']",2717.950741,netflix
10.145.167.113,35.161.50.134,6,75775,25330,29363,9825,24:03.2,44:27.8,80,28,82,28,3,"['watch_video', 'watch_video', 'watch_video']",1224.600151,netflix
10.145.167.113,52.40.130.35,6,101605,25643,39432,10293,08:02.5,53:18.4,118,34,115,37,4,"['browse_home', 'browse_home', 'watch_video', 'watch_video']",2715.814177,netflix
10.145.167.113,52.42.117.17,6,50432,25274,19538,9825,10:41.1,40:08.7,52,27,54,28,2,"['watch_video', 'watch_video']",1767.616318,netflix
10.145.167.113,52.89.124.203,6,291850,195346,291719,177167,13:18.8,44:29.7,440,279,526,325,4,"['browse_home', 'watch_video', 'watch_video', 'watch_video']",1870.917249,netflix
10.145.167.113,54.148.37.5,6,61370,32620,75737,38346,10:41.1,27:41.4,87,46,134,73,2,"['watch_video', 'watch_video']",1020.287531,netflix
10.145.43.25,172.217.12.36,17,9411,9411,3622,3622,42:48.4,42:48.5,11,11,9,9,1,['watch_video'],0.101981,netflix
10.145.43.25,192.124.233.66,6,74109417,20141084,481606,109890,08:41.9,48:48.4,58196,15800,6320,1528,6,"['watch_video', 'watch_video', 'browse_home', 'browse_home', 'watch_video', 'browse_home']",2406.495253,netflix
10.145.43.25,198.38.99.164,6,7093,7093,1432,1432,37:17.8,37:18.0,10,10,11,11,1,['browse_home'],0.162003,netflix
10.145.43.25,23.246.2.135,6,4366559,4366559,46188,46188,08:41.6,09:05.4,3457,3457,488,488,1,['watch_video'],23.779515,netflix
10.145.43.25,23.246.2.193,6,503521,251761,12640,6320,33:58.8,37:18.8,400,200,210,105,2,"['browse_home', 'browse_home']",199.958987,netflix
10.145.43.25,23.246.2.195,6,64704,64704,2524,2524,33:58.6,33:58.7,55,55,32,32,1,['browse_home'],0.080292,netflix
10.145.43.25,23.246.2.196,6,283324,141664,9338,4669,37:18.0,48:33.5,230,115,126,63,2,"['browse_home', 'browse_home']",675.509725,netflix
10.145.43.25,23.246.2.202,6,129412,64706,5048,2524,08:41.6,48:33.4,110,55,64,32,2,"['watch_video', 'browse_home']",2391.878907,netflix
10.145.43.25,23.246.2.203,6,7086,7086,1380,1380,33:58.1,33:58.2,10,10,10,10,1,['browse_home'],0.104171,netflix
10.145.43.25,23.246.2.204,6,12371,6187,2656,1328,33:58.0,48:30.3,18,9,18,9,2,"['browse_home', 'browse_home']",872.293396,netflix
10.145.43.25,23.246.2.207,6,8072,8072,1380,1380,33:57.9,33:58.0,11,11,10,10,1,['browse_home'],0.051599,netflix
10.145.43.25,23.246.2.209,6,16558,8279,2760,1380,37:29.0,48:40.4,22,11,20,10,2,"['browse_home', 'browse_home']",671.38531,netflix
10.145.43.25,23.246.3.157,6,8735799,4369190,91872,46832,09:45.2,43:09.3,6918,3460,1032,533,2,"['watch_video', 'watch_video']",2004.090021,netflix
10.145.43.25,23.246.3.195,6,137699,137699,4030,4030,33:58.7,33:58.8,111,111,61,61,1,['browse_home'],0.074205,netflix
10.145.43.25,23.246.3.198,6,15634,8279,2824,1432,33:59.3,37:17.9,21,11,21,11,2,"['browse_home', 'browse_home']",198.55676,netflix
10.145.43.25,23.246.3.199,6,129411,64706,6296,3772,09:45.0,42:45.4,110,55,88,56,2,"['watch_video', 'watch_video']",1980.330868,netflix
10.145.43.25,23.246.3.201,6,7093,7093,1380,1380,48:30.4,48:30.4,10,10,10,10,1,['browse_home'],0.080472,netflix
10.145.43.25,23.246.3.202,6,16145,8073,2760,1380,37:17.5,48:29.8,22,11,20,10,2,"['browse_home', 'browse_home']",672.333078,netflix
10.145.43.25,23.246.3.206,6,73044,64704,3955,2524,33:58.3,37:18.2,66,55,43,32,2,"['browse_home', 'browse_home']",199.966364,netflix
10.145.43.25,23.246.3.212,6,251760,251760,6320,6320,48:33.5,48:33.7,200,200,105,105,1,['browse_home'],0.125472,netflix
10.145.43.25,34.210.42.111,6,211595,178520,217967,179992,09:43.5,37:40.2,279,227,368,299,2,"['watch_video', 'browse_home']",1676.743338,netflix
10.145.43.25,35.161.50.134,6,50634,25319,19894,10181,09:43.3,48:27.8,56,28,61,35,2,"['watch_video', 'browse_home']",2324.447801,netflix
10.145.43.25,52.40.130.35,6,25326,25326,9713,9713,33:55.6,33:56.3,28,28,26,26,1,['browse_home'],0.723156,netflix
10.145.43.25,52.42.117.17,6,75971,25326,29607,10181,08:39.5,42:43.7,84,28,87,35,3,"['watch_video', 'browse_home', 'watch_video']",2044.19094,netflix
10.145.43.25,52.89.124.203,6,219528,219528,174159,174159,33:56.0,34:21.2,302,302,352,352,1,['browse_home'],25.213862,netflix
10.145.43.25,54.148.37.5,6,244475,186522,263021,187506,08:39.7,48:52.3,368,279,461,333,3,"['watch_video', 'watch_video', 'browse_home']",2412.592108,netflix
10.145.43.25,54.225.70.98,6,8139,8139,2159,2159,42:41.7,42:42.0,18,18,19,19,1,['watch_video'],0.302756,netflix
10.145.167.113,172.217.14.170,6,40,40,75,75,50:36.3,50:36.3,1,1,1,1,1,['browse_home'],0.025052,netflix
10.145.167.113,172.217.6.138,6,80,80,127,127,26:51.6,26:51.6,2,2,2,2,1,['browse_home'],0.009085,netflix
10.145.167.113,192.124.233.66,6,98588567,19721342,456834,101621,10:11.5,53:06.6,77333,15472,5984,1367,5,"['watch_video', 'watch_video', 'watch_video', 'watch_video', 'watch_video']",2575.102924,netflix
10.145.167.113,216.58.194.106,6,40,40,75,75,50:37.3,50:37.3,1,1,1,1,1,['browse_home'],0.026591,netflix
10.145.167.113,23.246.2.195,6,4661191,4661191,52468,52468,52:42.8,53:06.6,3709,3709,581,581,1,['watch_video'],23.835433,netflix
10.145.167.113,23.246.2.196,6,158344,141662,10287,7373,26:52.0,50:32.6,137,115,138,115,3,"['browse_home', 'browse_home', 'browse_home']",1420.669875,netflix
10.145.167.113,23.246.2.202,6,4726697,4661993,57208,54632,27:46.0,35:57.2,3756,3701,666,633,2,"['browse_home', 'watch_video']",491.176002,netflix
10.145.167.113,23.246.2.203,6,7089,7089,1432,1432,26:51.9,26:51.9,10,10,11,11,1,['browse_home'],0.093544,netflix
10.145.167.113,23.246.2.204,6,6186,6186,1328,1328,50:32.1,50:32.1,9,9,9,9,1,['browse_home'],0.048201,netflix
10.145.167.113,23.246.2.206,6,64704,64704,3772,3772,50:32.4,50:32.5,55,55,56,56,1,['browse_home'],0.109761,netflix
10.145.167.113,23.246.2.207,6,8072,8072,1380,1380,27:44.6,27:44.8,11,11,10,10,1,['browse_home'],0.148008,netflix
10.145.167.113,23.246.2.211,6,4663190,4663190,53960,53960,46:11.5,46:35.6,3700,3700,621,621,1,['watch_video'],24.089842,netflix
10.145.167.113,23.246.3.195,6,275499,137751,10504,6474,26:52.7,27:46.4,224,112,169,108,2,"['browse_home', 'browse_home']",53.655014,netflix
10.145.167.113,23.246.3.198,6,12370,6185,2656,1328,26:51.8,27:44.9,18,9,18,9,2,"['browse_home', 'browse_home']",53.126361,netflix
10.145.167.113,23.246.3.199,6,4663773,4663773,61856,61856,24:49.5,25:13.4,3735,3735,727,727,1,['watch_video'],23.864306,netflix
10.145.167.113,23.246.3.201,6,14186,7093,2812,1432,27:45.0,50:32.3,20,10,21,11,2,"['browse_home', 'browse_home']",1367.239819,netflix
10.145.167.113,23.246.3.202,6,16139,8072,2812,1432,26:50.8,50:31.1,22,11,21,11,2,"['browse_home', 'browse_home']",1420.253455,netflix
10.145.167.113,23.246.3.204,6,4665214,4665214,66384,66384,10:10.8,10:34.5,3739,3739,820,820,1,['watch_video'],23.708751,netflix
10.145.167.113,23.246.3.207,6,64813,64813,3936,3936,26:52.5,26:52.6,57,57,59,59,1,['browse_home'],0.159991,netflix
10.145.167.113,23.246.3.212,6,755276,251760,24004,11364,26:52.9,50:32.9,600,200,412,202,3,"['browse_home', 'browse_home', 'browse_home']",1419.91538,netflix
10.145.167.113,31.13.93.19,6,52334,18616,20495,7450,10:30.6,52:44.1,83,29,83,26,4,"['watch_video', 'watch_video', 'browse_home', 'watch_video']",2533.492618,netflix
10.145.167.113,31.13.93.63,6,8833,8833,80237,80237,50:55.2,50:57.8,83,83,120,120,1,['browse_home'],2.629064,netflix
10.145.167.113,34.210.42.111,6,86023,32681,102561,38302,10:08.9,52:43.8,128,47,190,70,3,"['watch_video', 'watch_video', 'watch_video']",2554.889349,netflix
10.145.167.113,35.161.50.134,6,100866,25326,38852,9713,10:08.7,52:41.6,104,28,104,26,4,"['watch_video', 'watch_video', 'browse_home', 'watch_video']",2552.906433,netflix
10.145.167.113,52.40.130.35,6,25162,25162,9713,9713,24:47.5,24:48.2,25,25,26,26,1,['watch_video'],0.759827,netflix
10.145.167.113,52.42.117.17,6,75916,25322,29607,10181,26:48.8,35:31.7,83,28,87,35,3,"['browse_home', 'browse_home', 'watch_video']",522.861118,netflix
10.145.167.113,52.89.124.203,6,463266,205655,443258,184581,24:47.7,50:53.7,596,259,800,340,4,"['watch_video', 'browse_home', 'watch_video', 'browse_home']",1566.005045,netflix
10.145.167.113,54.148.37.5,6,170655,170655,184768,184768,27:43.2,28:08.3,212,212,272,272,1,['browse_home'],25.142769,netflix
10.145.43.25,192.124.233.66,6,9126442,4564535,104164,54434,34:47.2,46:12.8,7209,3606,1212,651,2,"['browse_home', 'browse_home']",685.646299,netflix
10.145.43.25,23.246.2.195,6,64704,64704,2524,2524,34:33.8,34:33.9,55,55,32,32,1,['browse_home'],0.091925,netflix
10.145.43.25,23.246.2.196,6,8340,8340,1379,1379,45:53.4,45:53.4,11,11,10,10,1,['browse_home'],0.04747,netflix
10.145.43.25,23.246.2.197,6,137698,137698,3978,3978,34:33.9,34:34.0,111,111,60,60,1,['browse_home'],0.100988,netflix
10.145.43.25,23.246.2.203,6,7092,7092,1380,1380,34:33.3,34:33.4,10,10,10,10,1,['browse_home'],0.116159,netflix
10.145.43.25,23.246.2.204,6,6187,6187,1328,1328,45:53.2,45:53.2,9,9,9,9,1,['browse_home'],0.052554,netflix
10.145.43.25,23.246.2.207,6,8071,8071,1380,1380,34:33.1,34:33.2,11,11,10,10,1,['browse_home'],0.073625,netflix
10.145.43.25,23.246.2.209,6,8280,8280,1380,1380,34:33.7,34:33.7,11,11,10,10,1,['browse_home'],0.054694,netflix
